Field_in_data,Description_of_information,Filling,At_the_time_of_the_request,Place_of_definition,Note
amount_to_pay,сумма для оплаты минимальная,,???,параметры связанные с выданным продуктом,
total_paid,всего оплачено по договору,,???,,
current_interest_amount,начислено стандартных процентов,,???,,
current_overdue_interest_amount,сумма просроченных процентов,,???,,
current_rest_amount,сумма долга,,???,,
current_principal_balance,остаток по телу кредита,,???,,
overdue_amount,Невыплаченная сумма на момент окончания займа,,Неизвестно,,
overdue_days,Количество дней просрочки,,Неизвестно,,
extension_amount,не используется,,Неизвестно,,
extension_days,не используется,,Неизвестно,,
payment_date,плановая дата оплаты,,Неизвестно,,
billing_updated_at,дата время обновления билинга,,Неизвестно,,
closed_at,Дата и время закрытия заявки,,Неизвестно,,
forced_to_close,Заявка закрыта принудительно,,Неизвестно,,
is_restructured,Заявка реструктуризирована,,Неизвестно,,
product_profile_id,ID профиля продукта,,Известно,Определяется системой учета заявок,
credit_policy_id,Кредитная политика по которой выдавался кредит,,???,,
user_id,ID пользователя,Обязательно,Известно,,
credit_card_id,ID банковской карточки пользователя,,Известно,,
cardholder_name,Имя пользователя на банковской карточке,,Известно,,
face_id,"id лица, используем сторонний сервис для распознавания лиц",,???,,
step,номер шага на котором остановился клиент при оформлении заявки,,???,,
created_at,Дата и время создания заявки,Обязательно,Известно,Определяется при подаче заявки,Локальное время на устройстве пользователя или это время системы приема заявок?
updated_at,Дата и время последнего изменения заявки,Обязательно,Известно,Определяется при подаче заявки,Локальное время на устройстве пользователя или это время системы приема заявок?
